S.No,X,Y,Amplitude,Time Stamp
0,1000,400,0,
1,-128,351,166,
2,-122,291,366,
3,-116,265,451,
4,-110,270,434,
5,-104,275,418,
6,-98,270,434,
7,-92,280,400,
8,-86,275,417,
9,-80,285,384,
10,-74,265,450,
11,-68,285,384,
12,-62,310,301,
13,-56,300,334,
14,-50,260,467,
15,-44,55,1151,
16,-38,310,300,
17,-32,351,166,
18,-26,360,134,
19,-20,376,83,
20,-14,370,100,
21,-8,400,0,
22,4,400,0,2h43m54s 16D8M2016Y
23,16,235,551,
24,22,224,589,
25,28,280,400,
26,34,284,388,
27,40,295,351,
28,46,376,83,
29,52,316,283,
30,58,316,282,
31,64,320,267,
32,70,335,217,
33,76,340,200,
34,82,381,66,
35,88,371,99,
36,94,356,148,
37,100,357,144,
38,106,368,108,
39,112,358,142,
40,118,348,175,
41,124,28,1243,
42,130,305,318,
43,136,329,239,
44,142,350,167,
45,148,351,166,
46,154,370,102,
47,160,40,1202,
48,166,80,1067,
49,172,390,34,
50,178,95,1018,
51,184,376,83,
52,190,310,300,
53,196,346,183,
54,202,370,100,
55,208,370,102,
56,214,385,50,
57,220,365,117,
58,226,350,168,
59,232,366,116,
60,238,380,67,
61,244,385,50,
62,250,370,100,
63,256,376,83,
64,262,376,83,
65,268,380,67,
66,274,376,83,
67,280,375,84,
68,286,386,49,
69,292,381,66,
70,298,380,67,
71,304,391,33,
72,310,63,1126,
73,316,276,416,
74,322,385,51,
75,328,240,534,
76,334,135,886,
77,340,235,552,
78,346,211,633,
79,352,170,767,
80,358,320,268,
81,364,295,350,
82,370,306,316,
83,376,311,297,
84,382,395,18,
85,388,376,83,
86,394,380,67,
87,400,381,66,
88,406,385,50,
89,412,385,50,
90,418,385,50,
91,424,-32,1442,
92,430,340,201,
93,436,280,401,
94,442,272,429,
95,448,400,0,
96,460,400,0,2h44m32s 16D8M2016Y
97,472,69,1104,
98,478,288,376,
99,484,300,335,
100,490,310,302,
101,496,342,196,
102,502,355,151,
103,508,316,283,
104,514,366,116,
105,520,370,101,
106,526,370,100,
107,532,388,41,
108,538,156,814,
109,544,199,671,
110,550,150,834,
111,556,200,669,
112,562,164,788,
113,568,176,749,
114,574,205,651,
115,580,290,369,
116,586,376,83,
117,592,310,303,
118,598,295,353,
119,604,294,354,
120,610,290,369,
121,616,303,325,
122,622,295,353,
123,628,299,338,
124,634,390,36,
125,640,375,84,
126,646,380,67,
127,652,391,33,
128,658,375,84,
129,664,370,102,
130,670,370,100,
131,676,369,104,
132,682,365,119,
133,688,360,136,
134,694,365,119,
135,700,122,928,
136,706,130,900,
137,712,311,298,
138,718,353,157,
139,724,370,101,
140,730,359,139,
141,736,359,137,
142,742,363,124,
143,748,363,124,
144,754,385,50,
145,760,364,123,
146,766,390,35,
147,772,349,173,
148,778,223,592,
149,784,244,523,
150,790,246,515,
151,796,388,40,
152,802,358,142,
153,808,359,139,
154,814,354,154,
155,820,390,35,
156,826,380,68,
157,832,65,1119,
158,838,170,767,
159,844,271,431,
160,850,390,36,
161,856,374,87,
162,862,380,67,
163,868,373,90,
164,874,222,595,
165,880,259,471,
166,886,369,106,
167,892,380,69,
168,898,377,79,
169,904,347,177,
170,910,375,84,
171,916,400,0,
172,928,400,0,2h45m9s 16D8M2016Y
173,940,370,103,
174,946,364,120,
175,952,379,72,
176,958,378,76,
177,964,390,34,
178,970,374,87,
179,976,375,84,
180,982,371,99,
181,988,369,105,
182,994,385,51,2h45m14s 16D8M2016Y
