S.No,X,Y,Amplitude,Time Stamp
0,1000,400,0,
1,808,340,300,
2,814,364,184,
3,820,384,82,
4,826,384,83,
5,832,384,84,
6,838,384,84,
7,844,384,84,
8,850,384,84,
9,856,387,68,
10,862,384,84,
11,868,384,83,
12,874,380,100,
13,880,190,1054,
14,886,400,0,
15,898,400,0,2h37m21s 16D8M2016Y
16,910,377,117,
17,916,380,102,
18,922,384,84,
19,928,384,83,
20,934,380,100,
21,940,387,67,
22,946,380,100,
23,952,384,83,
24,958,374,132,
25,964,267,669,
26,970,274,634,
27,976,400,0,
28,988,400,0,2h37m32s 16D8M2016Y
