S.No,X,Y,Amplitude,Time Stamp
0,1000,400,0,
1,142,74,817,
2,148,63,844,
3,154,156,612,
4,160,247,383,
5,166,235,413,
6,172,237,409,
7,178,244,390,
8,184,232,421,
9,190,230,426,
10,196,241,399,
11,202,238,407,
12,208,257,359,
13,214,238,407,
14,220,263,344,
15,226,257,359,
16,232,282,297,
17,238,275,313,
18,244,326,187,
19,250,357,109,
20,256,369,78,
21,262,356,110,
22,268,382,47,
23,274,307,234,
24,280,250,375,
25,286,250,375,
26,292,250,375,
27,298,250,375,
28,304,238,406,
29,310,250,375,
30,316,244,391,
31,322,256,360,
32,328,232,422,
33,334,263,343,
34,340,238,406,
35,346,269,329,
36,352,238,406,
37,358,263,343,
38,364,250,375,
39,370,300,250,
40,376,263,344,
41,382,325,188,
42,388,275,313,
43,394,350,125,
44,400,300,250,
45,406,313,219,
46,412,326,187,
47,418,369,78,
48,424,238,406,
49,430,213,469,
50,436,219,453,
51,442,238,407,
52,448,219,453,
53,454,238,406,
54,460,219,453,
55,466,232,422,
56,472,213,469,
57,478,219,453,
58,484,219,453,
59,490,219,453,
60,496,225,438,
61,502,213,469,
62,508,232,422,
63,514,219,453,
64,520,225,438,
65,526,213,469,
66,532,226,437,
67,538,213,469,
68,544,225,438,
69,550,219,454,
70,556,232,422,
71,562,219,453,
72,568,232,422,
73,574,206,485,
74,580,225,438,
75,586,200,500,
76,592,232,421,
77,598,213,468,
78,604,244,391,
79,610,207,484,
80,616,244,390,
81,622,207,484,
82,628,238,406,
83,634,207,484,
84,640,250,375,
85,646,200,500,
86,652,263,344,
87,658,213,469,
88,664,282,296,
89,670,206,485,
90,676,294,266,
91,682,207,484,
92,688,375,63,
93,694,219,453,
94,700,263,344,
95,706,188,531,
96,712,244,390,
97,718,200,500,
98,724,238,406,
99,730,194,516,
100,736,219,454,
101,742,200,500,
102,748,225,438,
103,754,219,453,
104,760,26,937,
105,766,225,438,
106,772,219,453,
107,778,226,437,
108,784,207,484,
109,790,25,938,
110,796,32,922,
111,802,238,406,
112,808,219,453,
113,814,232,422,
114,820,219,453,
115,826,219,453,
116,832,219,453,
117,838,232,422,
118,844,219,453,
119,850,238,407,
120,856,194,516,
121,862,232,422,
122,868,213,469,
123,874,244,391,
124,880,226,437,
125,886,238,406,
126,892,206,485,
127,898,288,281,
128,904,219,453,
129,910,288,281,
130,916,219,454,
131,922,300,250,
132,928,213,469,
133,934,363,93,
134,940,213,468,
135,946,232,422,
136,952,276,312,
137,958,294,265,
138,964,294,266,
139,970,313,218,
140,976,400,0,
141,988,400,0,1h11m59s 16D8M2016Y
