S.No,X,Y,Amplitude,Time Stamp
0,1000,400,0,
1,-326,291,364,
2,-320,272,427,
3,-314,261,464,
4,-308,286,383,
5,-302,261,464,
6,-296,282,394,
7,-290,253,493,
8,-284,277,412,
9,-278,257,478,
10,-272,264,454,
11,-266,258,476,
12,-260,252,494,
13,-254,249,505,
14,-248,248,507,
15,-242,259,473,
16,-236,250,500,
17,-230,255,485,
18,-224,241,531,
19,-218,260,469,
20,-212,236,547,
21,-206,260,469,
22,-200,218,609,
23,-194,265,453,
24,-188,222,594,
25,-182,274,422,
26,-176,227,578,
27,-170,288,375,
28,-164,241,531,
29,-158,316,281,
30,-152,241,531,
31,-146,232,563,
32,-140,246,515,
33,-134,264,455,
34,-128,278,407,
35,-122,265,453,
36,-116,274,422,
37,-110,307,312,
38,-104,208,641,
39,-98,283,390,
40,-92,208,640,
41,-86,260,469,
42,-80,232,562,
43,-74,265,453,
44,-68,250,500,
45,-62,260,469,
46,-56,91,1031,
47,-50,53,1157,
48,-44,190,703,
49,-38,227,578,
50,-32,204,656,
51,-26,236,547,
52,-20,227,578,
53,-14,250,500,
54,-8,199,672,
55,-2,-21,1406,
56,4,30,1234,
57,10,39,1204,
58,16,236,547,
59,22,203,657,
60,28,16,1281,
61,34,213,625,
62,40,203,657,
63,46,222,594,
64,52,190,703,
65,58,194,687,
66,64,133,890,
67,70,190,703,
68,76,171,766,
69,82,199,672,
70,88,180,735,
71,94,194,687,
72,100,217,610,
73,106,194,688,
74,112,218,609,
75,118,110,968,
76,124,278,407,
77,130,269,437,
78,136,279,406,
79,142,316,282,
80,148,302,328,
81,154,335,219,
82,160,358,140,
83,166,391,31,
84,172,377,78,
85,178,400,0,
86,190,400,0,1h13m16s 16D8M2016Y
87,202,185,719,
88,208,316,281,
89,214,255,485,
90,220,330,234,
91,226,250,500,
92,232,358,140,
93,238,246,516,
94,244,236,547,
95,250,232,563,
96,256,250,500,
97,262,241,531,
98,268,250,500,
99,274,250,500,
100,280,302,328,
101,286,325,250,
102,292,321,265,
103,298,293,359,
104,304,307,313,
105,310,255,484,
106,316,302,328,
107,322,269,438,
108,328,288,375,
109,334,279,406,
110,340,288,375,
111,346,279,406,
112,352,298,343,
113,358,265,453,
114,364,307,313,
115,370,265,453,
116,376,335,219,
117,382,250,500,
118,388,330,234,
119,394,283,391,
120,400,335,219,
121,406,307,312,
122,412,316,281,
123,418,293,359,
124,424,283,391,
125,430,279,406,
126,436,269,438,
127,442,279,406,
128,448,269,438,
129,454,279,406,
130,460,269,438,
131,466,278,407,
132,472,143,859,
133,478,269,437,
134,484,274,422,
135,490,278,407,
136,496,274,421,
137,502,312,296,
138,508,274,422,
139,514,283,391,
140,520,307,312,
141,526,312,296,
142,532,269,437,
143,538,311,297,
144,544,203,657,
145,550,321,266,
146,556,316,281,
147,562,349,172,
148,568,335,218,
149,574,368,109,
150,580,325,250,
151,586,288,375,
152,592,349,172,
153,598,321,266,
154,604,368,109,
155,610,344,187,
156,616,335,218,
157,622,321,266,
158,628,349,172,
159,634,302,328,
160,640,330,235,
161,646,321,265,
162,652,302,328,
163,658,288,375,
164,664,330,234,
165,670,349,172,
166,676,293,359,
167,682,316,281,
168,688,344,188,
169,694,386,47,
170,700,372,94,
171,706,307,313,
172,712,316,281,
173,718,354,156,
174,724,316,281,
175,730,363,125,
176,736,307,313,
177,742,292,360,
178,748,349,172,
179,754,335,219,
180,760,236,547,
181,766,363,125,
182,772,269,438,
183,778,283,390,
184,784,63,1125,
185,790,316,282,
186,796,236,547,
187,802,279,406,
188,808,278,407,
189,814,119,938,
190,820,298,343,
191,826,250,500,
192,832,129,906,
193,838,260,469,
194,844,-12,1375,
195,850,250,500,
196,856,288,375,
197,862,265,453,
198,868,288,375,
199,874,274,422,
200,880,152,828,
201,886,297,344,
202,892,11,1297,
203,898,288,375,
204,904,260,468,
205,910,344,188,
206,916,260,469,
207,922,260,469,
208,928,265,453,
209,934,302,328,
210,940,330,235,
211,946,386,47,
212,952,340,203,
213,958,400,0,
214,970,400,0,1h14m45s 16D8M2016Y
215,982,321,265,
216,988,293,359,
217,994,274,422,1h14m53s 16D8M2016Y
